职位名称,公司名称,公司信息,薪资,经验要求,jd详情
Python爬虫工程师兼职,北京远见天成企业...,"['投资/融资', '不需要融资', '100-499人']",10-15K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/9abb80e1af59ecd13nJ42ty0Elo~.html
爬虫工程师,北京千喜鹤公司,"['餐饮', '不需要融资', '10000人以上']",15-22K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/10a5205ecbd86a583nFz0tm_FlY~.html
网络爬虫研发工程师,国道数据,"['数据服务', '不需要融资', '100-499人']",9-14K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/40c5efae291491661HJ60t68E1s~.html
爬虫工程师,时趣互动,"['互联网', 'D轮及以上', '1000-9999人']",15-30K·13薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/e1a1b76520bb435a3nJ43ti0FlA~.html
爬虫工程师,金企旺科技,"['计算机软件', '20-99人']",11-20K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/d8aca416e48f350633x93dy-GVc~.html
爬虫工程师（实习生）,天一生才,"['在线教育', '未融资', '0-20人']",4-6K,"['经验不限', '大专']",https://www.zhipin.com/job_detail/bcffad03cad5256f0HJ429S9F1s~.html
爬虫/效能工程师,MetaApp,"['互联网', 'C轮', '100-499人']",15-20K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/ad30024f5d7df1663nZ83NW0GFQ~.html
python/爬虫工程师,鸥美贸易,"['日化', '不需要融资', '500-999人']",7-10K,"['3-5年', '大专']",https://www.zhipin.com/job_detail/720bd4237fb7f8903nJ52NS4FlY~.html
Python爬虫工程师,华如科技,"['计算机软件', '已上市', '500-999人']",13-20K·13薪,"['5-10年', '本科']",https://www.zhipin.com/job_detail/0bb999fd4a4aecb13nJ42t-9EVE~.html
Python爬虫工程师,七天教育,"['学术/科研', 'C轮', '10000人以上']",15-25K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/fe5c4d9cf647e2613nV90967FFU~.html
数据爬虫工程师,坤舆科技,"['农/林/牧/渔', 'B轮', '20-99人']",10-15K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/4db82fa59a3679860nN82dS_EVc~.html
python逆向爬虫,爱贝网络,"['计算机软件', '未融资', '100-499人']",13-26K,"['经验不限', '学历不限']",https://www.zhipin.com/job_detail/d3c40873444888023nR83tm7GVQ~.html
爬虫工程师,功道云,"['4S店/后市场', '不需要融资', '100-499人']",15-25K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/f7eb22e8c3c6f8173nZy09i-FVQ~.html
Python爬虫工程师,乐元素,"['游戏', 'D轮及以上', '500-999人']",15-25K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/644eeefc5a2eb3d33nJ62921GVM~.html
爬虫开发工程师,中科院计算所,"['计算机软件', '未融资', '100-499人']",9-14K·14薪,"['1-3年', '本科']",https://www.zhipin.com/job_detail/5ad567af2adbe5520nZ939--GFY~.html
爬虫工程师,知产宝,"['数据服务', 'A轮', '100-499人']",10-15K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/f574dbca0254da8a3nR929i-FVE~.html
python爬虫工程师,韦博网讯科技,"['广告营销', '不需要融资', '20-99人']",12-17K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/84b227d1d4e7b30133Ny3tu4GFU~.html
Python爬虫高级工程师,掌上无限,"['广告营销', '不需要融资', '100-499人']",12-20K,"['3-5年', '大专']",https://www.zhipin.com/job_detail/36cddf5187851c9a3nd52di0GFQ~.html
高级爬虫工程师,凭安信用,"['互联网', 'A轮', '100-499人']",15-25K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/10b29f253b80be0b3nFz2ti_GVA~.html
爬虫,捷通华声,"['互联网', 'C轮', '100-499人']",11-20K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/7d11ac4b6d5019ef0HV93ty-FVY~.html
爬虫工程师,演绎科技,"['媒体', 'B轮', '100-499人']",15-20K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/c47b7f3ba45c96093nJ63d60FlI~.html
爬虫工程师,潍坊市普林特英智...,"['企业服务', 'A轮', '0-20人']",8-9K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/abda69fe51c8d33833Z529m7GFs~.html
爬虫工程师(S6T1),诺信创联,"['医疗健康', 'C轮', '100-499人']",15-20K·15薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/7fa10953aa83d1073nd83N24GVY~.html
爬虫数据工程师,火眼云,"['计算机软件', 'A轮', '20-99人']",10-15K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/f74bc8c24b9387f833N8096_FVc~.html
Python爬虫工程师,斯迪安,"['企业服务', '20-99人']",8-10K·14薪,"['1年以内', '大专']",https://www.zhipin.com/job_detail/851993b995d5e7aa3nZ439W1E1o~.html
爬虫工程师,欧特欧咨询,"['数据服务', '不需要融资', '20-99人']",13-20K·13薪,"['1-3年', '大专']",https://www.zhipin.com/job_detail/4433643e606caec80HF63Ny1F1E~.html
Python爬虫工程师,阿尔法工场,"['互联网金融', 'B轮', '20-99人']",10-15K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/1616a1a3e806b56e3nF80tu5ElA~.html
爬虫工程师,悟空租车,"['电子商务', 'B轮', '100-499人']",18-22K·13薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/2d33525c4ff1b34d3nF53NS4EVM~.html
Python爬虫工程师,中国知网,"['互联网', '不需要融资', '1000-9999人']",10-15K·13薪,"['1-3年', '本科']",https://www.zhipin.com/job_detail/f4b5bc482fb008073nB509-1Els~.html
爬虫工程师,绘客科技,"['企业服务', 'A轮', '20-99人']",10-15K,"['3-5年', '大专']",https://www.zhipin.com/job_detail/7f9293cc9dbfdd373nZ809u9FlE~.html
爬虫工程师,虎嗅网,"['互联网', '不需要融资', '100-499人']",20-26K·13薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/615569cc7e0f72d93nR-09q8FFU~.html
高级爬虫开发工程师（AYL）,爱盈利,"['互联网', '不需要融资', '100-499人']",12-20K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/0615f0af1abc73d30n1-2dW-Elc~.html
爬虫工程师,时趣互动,"['移动互联网', 'D轮及以上', '500-999人']",15-30K·13薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/c41c870691eee3613ndy09m7GFU~.html
爬虫工程师,北京动力天下科技发展有限公司,"['计算机软件', '未融资', '0-20人']",6-10K,"['1-3年', '大专']",https://www.zhipin.com/job_detail/3c6e9c26cb9eedac3nF_29-7GVQ~.html
高级爬虫开发工程师,小塔,"['互联网', '天使轮', '0-20人']",12-24K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/a4f753a8784426071HB62dy-F1I~.html
Python爬虫工程师,永越达招标网,"['电子商务', '天使轮', '100-499人']",9-13K,"['1-3年', '大专']",https://www.zhipin.com/job_detail/626ffe0a92d32f6b3nd_3tq5FVM~.html
Python爬虫数据工程师,有约,"['数据服务', '天使轮', '0-20人']",10-15K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/0f4d6b24aeea1ca03nd93dW4ElA~.html
数据与爬虫开发工程师,淼奕信息科技有限公司,"['证券/期货', '20-99人']",20-25K·16薪,"['1-3年', '本科']",https://www.zhipin.com/job_detail/feec6c7edde78ef83nd409m5GFE~.html
爬虫工程师,数智工场,"['数据服务', '天使轮', '20-99人']",12-18K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/bc339a680b29a9b133xy2t-7GVE~.html
python爬虫,盈科千信,"['互联网', '不需要融资', '20-99人']",9-10K,"['1-3年', '大专']",https://www.zhipin.com/job_detail/0742a8dc79ca74250nN53dy1FFE~.html
爬虫工程师,鸿鹄求索,"['互联网', '0-20人']",8-12K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/c1ffd7cc87fd143f3nJ609y7E1Y~.html
Java研发工程师（爬虫）,航班管家,"['互联网', 'C轮', '500-999人']",11-18K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/ee3694132370b4880HJ40t-0ElU~.html
兼职爬虫工程师,快睿科技,"['计算机服务', 'A轮', '20-99人']",5-8K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/5f3a7e90f1404f603nd82NS0FFc~.html
爬虫工程师,厨芯,"['智能硬件', 'B轮', '1000-9999人']",15-27K·14薪,"['经验不限', '本科']",https://www.zhipin.com/job_detail/366ea4474424739c3nF_2di5EVU~.html
爬虫,大地宏图,"['互联网', '不需要融资', '100-499人']",30-55K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/7c2309e28f6ddbf50HV-3ty8F1I~.html
爬虫专家,途勒夫,"['咨询', '未融资', '0-20人']",20-40K,"['5-10年', '大专']",https://www.zhipin.com/job_detail/5a0d6ab0aa2b4f460Hx93Nq-GFA~.html
爬虫工程师,云合数据,"['移动互联网', 'A轮', '20-99人']",8-13K,"['经验不限', '学历不限']",https://www.zhipin.com/job_detail/8449f3c2aed25b141nF-3t-0EA~~.html
爬虫工程师,慧科讯业,"['数据服务', '不需要融资', '500-999人']",15-30K·13薪,"['1-3年', '本科']",https://www.zhipin.com/job_detail/729953f01e9f9e223nV73Ny9FlU~.html
爬虫工程师,天顺志恒,"['互联网', '不需要融资', '20-99人']",20-25K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/80499770562aab803nZ62Nm0E1E~.html
课程设计（爬虫方向）,猿辅导,"['在线教育', 'D轮及以上', '1000-9999人']",12-24K·16薪,"['经验不限', '本科']",https://www.zhipin.com/job_detail/7c15bf1232e398e63ndz3dy5FlE~.html
数据与爬虫开发工程师,峰吟科技,"['证券/期货', '未融资', '20-99人']",20-25K·15薪,"['1-3年', '本科']",https://www.zhipin.com/job_detail/3cbd8a560c97d8083nd43N6-F1Y~.html
爬虫工程师,热云数据,"['互联网', 'B轮', '100-499人']",20-35K·14薪,"['3-5年', '本科']",https://www.zhipin.com/job_detail/4b4047b06030ed200X172du-Flo~.html
爬虫工程师,中科聚网,"['计算机软件', '不需要融资', '100-499人']",10-15K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/798e2ad5570129650XNz2t-7F1E~.html
爬虫工程师,小飞羚科技有限公司,"['互联网', '未融资', '20-99人']",15-30K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/44fc7623d26464603nd_3tu8E1M~.html
高级爬虫工程师,拼室友,"['数据服务', 'A轮', '20-99人']",15-20K·13薪,"['1-3年', '本科']",https://www.zhipin.com/job_detail/1ae9ba40b92999e71n1_29q-F1M~.html
爬虫工程师,胖球分享,"['生活服务', 'A轮', '20-99人']",15-19K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/e3fa02c7d10db90a33Z52d24Flo~.html
爬虫工程师,捷风数据,"['计算机软件', '不需要融资', '20-99人']",10-15K,"['经验不限', '本科']",https://www.zhipin.com/job_detail/fcd333916caa2a0f1Hd72Ny9EFU~.html
爬虫工程师,滴滴,"['移动互联网', 'D轮及以上', '1000-9999人']",30-60K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/e177a63323e64d7a33d739u8EVo~.html
爬虫工程师,一点资讯,"['移动互联网', 'D轮及以上', '500-999人']",20-40K·14薪,"['经验不限', '本科']",https://www.zhipin.com/job_detail/07a0fcea622d6ca10XNz09S-FFY~.html
Python爬虫,中软国际,"['计算机软件', '已上市', '10000人以上']",14-28K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/056a281984020cd23nB82d24FVc~.html
爬虫工程师,凯脉,"['广告/公关/会展', '100-499人']",15-30K,"['5-10年', '本科']",https://www.zhipin.com/job_detail/a84eddda03960da63nV92d6_FFs~.html
爬虫工程师,超对称,"['互联网', 'A轮', '0-20人']",13-25K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/9f58bdb05831632e1nZ_2d-7F1A~.html
Python爬虫工程师,八福兔,"['互联网', 'D轮及以上', '100-499人']",11-16K·13薪,"['5-10年', '本科']",https://www.zhipin.com/job_detail/73a990210d1be95933B53du4FlM~.html
爬虫工程师,智飞坤舆科技,"['广告营销', 'B轮', '20-99人']",18-25K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/550c14ea63cf16f13nF-2di9FVY~.html
爬虫工程师,文创思宇,"['计算机软件', '20-99人']",10-15K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/e5a33614211f850b33Rz2tu4GVc~.html
网络爬虫工程师,优捷信达,"['数据服务', '不需要融资', '20-99人']",8-12K,"['1-3年', '本科']",https://www.zhipin.com/job_detail/df9751d10ddd694f331_3tq7FVM~.html
爬虫工程师,数字奇迹,"['互联网', 'A轮', '20-99人']",12-20K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/4024bcc3a55b56310HJ43di5F1M~.html
爬虫工程师,靠谱筹信息咨询,"['移动互联网', 'A轮', '20-99人']",12-20K·13薪,"['经验不限', '本科']",https://www.zhipin.com/job_detail/250663e66ca6001433d40tW_GVo~.html
Python爬虫工程师,创优,"['专利/商标/知识产权', '未融资', '0-20人']",8-13K,"['3-5年', '本科']",https://www.zhipin.com/job_detail/b03610b4533120c533Jz3du4EVQ~.html
爬虫工程师,致维科技,"['广告营销', 'B轮', '100-499人']",8-13K·14薪,"['经验不限', '本科']",https://www.zhipin.com/job_detail/dffce37a227f040a1HNz096-EVI~.html
Python爬虫工程师,启智联心,"['计算机软件', '不需要融资', '0-20人']",11-20K,"['3-5年', '大专']",https://www.zhipin.com/job_detail/348261de1e24094133Jy2Nu_FFA~.html
